x,y,z
97451.854,94638.208,29.1578369
98001.299,93268.831,27.3460903
92225.091,100241.806,38.1192956
91832.3275,105387.4003,15
94098.789,112813.981,7
98495.111,105728.568,5.4
97936.606,117455.097,36.6513267
92401.872,92971.369,15
97871.395,103362.252,48.4969456
94108.164,95586.822,20.8367006
101875.092,103133.121,49.9735774
97497.253,94020.924,30.0930437
96167.246,93057.169,15
96244.254,104106.233,101.4400678
103767.805,109001.41,34.9172168
94418.491,99591.469,24.2030846
102830.219,107789.59,199.0658195
97871.627,93414.299,13
104645.987,113197.09,46.727334
95221.511,89204.081,14
104129.654,123514.85,182.0150492
95297.181,89367.375,77.6685308
97685.786,91519.997,104.0106055
101473.938,99548.613,9
100162.098,116947.663,27.7130739
99664.69,113196.763,44
90333.236,101621.145,35.9043921
98132.922,92629.86,37.9151656
103737.905,109602.372,197.9370364
98024.75,98041.887,18.7228587
101991.829,113858.816,88.8552346
92002.085,100642.355,14
102036.546,103005.027,11.2
99074.593,103409.634,15
90548.803,101312.942,31.5822519
102091.868,115894.635,18.6052272
101247.965,101265.756,159.6663035
97042.736,95694.122,21.5672112
96310.393,115816.277,13
99635.314,99194.691,125.3601231
104221.72,114926.609,29.6565832
104722.205,110266.129,134.5832397
99789.9266,114275.5269,10
106376.681,115844.77,10.4
102048.472,118273.948,40.5658126
99380.982,93777.58,89.6545716
104345.988,114979.385,15.7
103671.808,110909.485,24.9328003
91957.347,103335.653,89.6993673
94029.45,107697.755,15
94046.99,97155.429,32.4150657
95491.069,89387.115,57.8014202
90343.872,96700.438,74.8302896
85878.988,104350.556,41.1511458
100963.091,111526.074,21.2927072
105007.216,116625.216,21.0273224
98708.19,108100.32,48.2811259
99006.473,107978.362,16
